Designator,Footprint,Quantity,Value,LCSC Part #
AE1,RFANT5220110A2T,1,Antenna_Shield,C201761
"C10, C11, C13, C15",0402,4,1µ,C14445
"C12, C4",0402,2,15p,C86285
"C14, C16, C5, C6, C7, C8",0402,6,100n,C1525
"C3, C9",0402,2,10µ,C315248
D4,LED_Cree-PLCC4_2x2mm_CCW,1,WS2812B_Geaendertes_Symbol,C965556
IO21,TestPoint_Pad_D1.5mm,1,TestPoint,
J1,10118194,1,USB_B_Micro,C2926988
L3,0402,1,2n2,C2941466
"R3, R4",0402,2,22,C25152
R5,0402,1,5K1,C25905
R6,0402,1,0,C21376
SM3,Symbol_kurzschlussblog,1,SYM_Arrow45_Tiny,
"SW1, SW2",microswitch,2,SW_Push,C100056
U1,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,C3013940
U2,TSOT-23-5,1,LN1134A332MR,C141419
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz,C424431
